Place,Name,Gender,Time
1,Albert Korir,M,2:08:22
2,Mohamed El Aaraby,M,2:09:06
3,Eyob Faniel,M,2:09:52
4,Elkanah Kibet,M,2:11:15
5,Abdi Nageeye,M,2:11:39
6,Kenenisa Bekele,M,2:12:52
7,Ben True,M,2:12:53
8,Nathan Martin,M,2:12:57
9,Kibiwott Kandie,M,2:13:43
10,Jared Ward,M,2:14:06
11,Patricio Castillo,M,2:14:11
12,John Raneri,M,2:15:36
13,Akira Tomiyasu,M,2:16:39
14,Shadrack Biwott,M,2:16:50
15,Thijs Nijhuis,M,2:17:25
16,Ryan Archer,M,2:18:57
17,Augustine Choge,M,2:20:53
18,Alvaro Abreu,M,2:20:53
19,Brian Shrader,M,2:21:55
20,Teshome Mekonen,M,2:22:16
21,Kevin Lewis,M,2:22:39
22,Peres Jepchirchir,F,2:22:39
23,Viola Cheptoo,F,2:22:44
24,Ababel Yeshaneh,F,2:22:52
25,Benjamin Toomer,M,2:23:57
26,Molly Seidel,F,2:24:42
27,Wojciech Kopec,M,2:25:16
28,Jordan Daniel,M,2:26:04
29,Helalia Johannes,F,2:26:09
30,Kellyn Taylor,F,2:26:10
31,Adrian Haywas,M,2:26:14
32,Jay Schairbaum,M,2:26:16
33,Annie Frisbie,F,2:26:18
34,Laura Thweatt,F,2:27:00
35,Urgesa Kedir Figa,M,2:27:24
36,Jason Simpson,M,2:28:12
37,David Laney,M,2:28:28
38,David Kilgore,M,2:29:10
39,Jared Ismael Velazco Flores,M,2:29:13
40,Brian Reis,M,2:29:17
41,Oz Pearlman,M,2:29:19
42,Daniel Höflinger,M,2:29:53
43,Jacob Shiohira,M,2:30:24
44,David Fitzmaurice,M,2:30:28
45,Grace Kahura,F,2:30:32
46,Stephanie Bruce,F,2:31:05
47,Marc Violone,M,2:32:00
48,Austin Hendrix,M,2:32:11
49,Collin Wainwright,M,2:32:14
50,Jesse Frank,M,2:32:18
51,Hugh Parker,M,2:32:43
52,Lanni Marchant,F,2:32:54
53,Peter Geithner,M,2:32:55
54,Thomas Kennedy,M,2:33:08
55,David Puleo,M,2:33:22
56,Kenneth Rideout,M,2:33:31
57,Shalane Flanagan,F,2:33:32
58,Abinazer Aghegnehu,M,2:33:33
59,David Roeske,M,2:33:34
60,Ned Trim,M,2:33:44
61,Timothée Jung,M,2:34:02
62,Haruka Yamaguchi,F,2:34:04
63,Kyle Kondracki,M,2:34:22
64,Andrea Ramirez Limon,F,2:34:51
65,Sebastian Nicewicz,M,2:35:14
66,Adam Cordell,M,2:35:34
67,Clayton Blose,M,2:35:39
68,Nils Arend,M,2:35:41
69,Jordy Winslow,M,2:35:50
70,Ignacio Lopez Mancisidor,M,2:35:54
71,Hanna Lindholm,F,2:35:54
72,Marko Cheseto,M,2:35:55
73,Joseph Tuttle,M,2:36:22
74,Brandon Hough,M,2:36:32
75,Matt Tuohy,M,2:36:39
76,Jonah Hanig,M,2:36:45
77,Conor Lanz,M,2:36:55
78,Troy Castle,M,2:37:10
79,Travis Hawkins,M,2:37:24
80,Scott Kulm,M,2:37:25
81,Wandisile Nongodlwana,M,2:37:27
82,Sean Hyland,M,2:37:34
83,Henry Lelei,M,2:37:38
84,David Magida,M,2:37:41
85,William McGee,M,2:38:00
86,Cameron Rieger,M,2:38:03
87,Guillermo Pineda Morales,M,2:38:05
88,Erich Wohl,M,2:38:08
89,Pedro Manuel Lemus Reyes,M,2:38:31
90,Geraldo Pereira da Silva Filho,M,2:38:32
91,Tim Hughes,M,2:38:36
92,Cabell Rosanelli,M,2:38:37
93,Teddy Shum,M,2:38:41
94,Obsie Birru,F,2:38:54
95,Andrew Gelston,M,2:39:08
96,Rachel Hannah,F,2:39:15
97,Adolfo Munguia,M,2:39:16
98,Wesley Korir,M,2:39:18
99,Beverly Ramos,F,2:39:22
100,Sean Quealy,M,2:39:24
101,Stephen Wallace,M,2:39:28
102,Brandon Talisesky,M,2:39:28
103,Sumner Jones,M,2:39:30
104,Jonathan Bradnam,M,2:39:31
105,William Friedlander,M,2:39:37
106,Gerard Torrats-Espinosa,M,2:39:44
107,Joanna Thompson,F,2:39:47
108,Matthew Brown Brotherton,M,2:39:51
109,Oliver Landeo Carranza,M,2:39:54
110,Brendan Camplin,M,2:39:57
111,John O'Neill,M,2:40:06
112,Daniel Masterson,M,2:40:20
113,Jarwei Fang,M,2:40:27
114,Robert Pritchett,M,2:40:36
115,Makenna Myler,F,2:40:45
116,David Niquille,M,2:40:46
117,Cameron Coneys,M,2:40:47
118,Michael Andersen,M,2:41:17
119,Gregory Keras,M,2:41:30
120,Brian Ledder,M,2:41:37
121,Brad Ziegler,M,2:41:39
122,Ilya Konyukhov,M,2:41:44
123,Jared Moore,M,2:41:46
124,Francisco Perdomo,M,2:41:56
125,Finlay Bell,M,2:41:57
126,Dylan Karten,M,2:41:59
127,Arnaud Enjalbert,M,2:42:13
128,Tim Hotchandani,M,2:42:36
129,Igor Lisnik,M,2:42:41
130,Ruben Martinez Fuente,M,2:42:50
131,J.D. Smith,M,2:43:00
132,Thomas Valente,M,2:43:09
133,Diego Arevalo Celada,M,2:43:09
134,Ian Kinsella,M,2:43:11
135,Shinsuke Adachi,M,2:43:20
136,Shangyuan Luo,M,2:43:22
137,Paul White,M,2:43:23
138,Mitchell Hayes,M,2:43:32
139,Jesus Romero,M,2:43:45
140,Noah Eisenberg,M,2:43:46
141,Mark Furler,M,2:43:48
142,Thierry Soudee,M,2:43:48
143,Daniel Ramirez,M,2:43:50
144,Chao Zhou,M,2:43:59
