Place,Name,Gender,Time
1,Joe McConaughy,M,59:28:54
2,Michael McKnight,M,65:39:16
3,Annie Hughes,F,71:10:22
4,Matt Smith,M,73:01:19
5,Kevin Goldberg,M,74:24:58
6,Jeff Garmire,M,75:05:20
7,Jason Koop,M,75:47:25
8,Mark Vogel,M,77:04:31
9,Joshua Locke,M,77:52:35
10,Lauren Jones,F,78:34:16
11,Tyler Welch,M,81:41:02
12,Cole Crosby,M,83:59:14
13,Sarah Ostaszewski,F,84:21:24
14,Dominic Grossman,M,85:42:28
15,Benjamen Dullum,M,86:02:39
16,Adrian Bagrin,M,87:05:44
17,Iain Jones,M,87:49:25
18,Tod Bachman,M,87:49:27
19,Rhoda Smoker,F,89:06:50
20,Brian Janezic,M,89:17:14
21,Stephanie Simpson,F,89:46:29
22,Eric Senseman,M,89:48:17
23,Mina Ebrahem,M,90:05:32
24,Connor McClelland,M,90:54:27
25,Carrie Henderson,F,91:43:32
26,Jose Sosa,M,92:14:46
27,Chris Walsh,M,92:19:00
28,Greg Ottinger,M,92:19:41
29,Jodi Semonell,F,92:46:45
30,David Odell,M,93:32:09
31,Chris Ragsdale,M,94:11:05
32,Christi Haswell,F,95:16:07
33,Mark Difalco,M,95:59:08
34,Matt Woolley,M,96:25:06
35,Ray Sanchez,M,96:50:05
36,Scott Jenkins,M,97:04:17
37,Carol Northrup,F,98:03:11
38,Fernando Montes,M,99:10:00
39,Brianna Grigsby,F,99:12:24
40,Mandi Goudie,F,99:53:01
41,Tim Cronk,M,100:00:59
42,Wes Plate,M,100:02:35
43,Nathan Warner,M,100:07:40
44,Kylie Aldaz,F,100:27:44
45,Matt Ross,M,100:43:13
46,Grant Muller,M,100:43:14
47,Chad Trumbo,M,101:20:34
48,Brian Hamilton,M,101:29:32
49,Tony Russ,M,101:44:26
50,Amy Gordon,F,102:04:47
51,Jon Wolfinger,M,102:15:38
52,David Stinchfield,M,102:32:22
53,Jake Donath,M,102:37:32
54,Shannon Ono,M,102:57:15
55,Sandy Hilton,M,103:42:15
56,Mike Wilkinson,M,103:47:21
57,Garth Reader,M,103:57:20
58,Jared Buchanan,M,104:01:31
59,Luke Thomas,M,104:01:50
60,Jason Massie,M,104:02:0
61,Tina Ormuz,F,104:10:31
62,Jirí Hálek,M,104:11:01
63,John Wright,M,104:38:32
64,Matthew Tiscornia,M,104:38:40
65,Tonya Keyes,F,104:46:23
66,Jeff Goldstein,M,104:57:25
67,Cesare Rotundo,M,105:10:03
68,Thomas Gulch,M,105:17:41
69,Alan Guevara,M,105:25:20
70,Dave Krupski,M,106:16:02
71,Sean Nakamura,M,106:42:23
72,Ken Burke,M,106:42:26
73,Lizzy Hughes,F,106:55:13
74,Steve Ellis,M,107:20:22
75,Benjamin Calvert,M,107:32:56
76,Krzysztof Pugawko,M,107:40:15
77,Peter Ward,M,107:41:08
78,Andrew Glaze,M,108:02:56
79,Mike Turner,M,108:08:10
80,Joan Hellman,F,108:08:52
81,Francesco Sinopoli,M,108:42:11
82,Phyllis Stanley,F,108:47:23
83,Jose Hernandez,M,109:47:41
84,Todd Holmes,M,110:17:49
85,Sketch Ditty,M,110:32:08
86,Julius Drelick,M,110:51:55
87,Abraham Mancino,M,111:02:19
88,Abraham Goldring,M,111:25:0
89,Henry Ward 3,M,111:46:00
90,Clifford Matthews,M,111:55:01
91,Deborah Hamberlin,F,112:08:43
92,Maxime Enzo Amara,M,112:18:22
93,Adam Foley,M,112:18:22
94,Michelle Wagher,F,113:02:07
95,Hernan Garcia,M,113:05:30
96,Erin Drasler,F,113:17:59
97,Aaron Fleisher,M,113:25:10
98,James Obrien,M,114:22:47
99,Nate Dirvin,M,114:23:02
100,Paul Johnson,M,115:40:38
101,Russell Kostecka,M,115:43:04
102,Brian Schreiber,M,115:43:14
103,Niloy Sen,M,116:08:34
104,Chris Guerra,M,116:20:03
105,Morgan Weinberg,F,116:20:49
106,Tony McDermott,M,116:22:24
107,Scott Meyers,M,116:28:20
108,Steven Epifano,M,116:29:49
109,Paul Murray,M,116:39:33
110,Matthew Murray,M,116:39:34
111,Krista Wilhelmson,F,116:47:11
112,Amy Palmiero-Winters,F,116:54:19
113,Jason Vanderhovel,M,116:55:22
114,Irene Koesters,F,117:02:00
115,Anthony Tadajewski,M,117:03:21
116,Christine Kitzler,F,117:20:20
117,Nicola Grice,F,117:23:09
118,Eric Estabrook,M,117:27:28
119,Valerie Nussbaumer,F,117:34:49
120,Lisa Kravetz,F,117:45:08
121,Larry Phoenix,M,117:47:16
122,Steven Turner,M,117:47:18
123,Casey Murrell,M,117:51:22
124,Cassidy Hood,M,117:55:40
125,Ken Tulloch,M,118:31:00
126,Lee Conner,F,118:35:24
127,Karmell Ohlrogge,F,118:35:25
128,Mark Mcconnell,M,118:39:34
129,Bart Mangino,M,118:43:07
130,Erin Linehan,F,118:56:16
131,Rebecca Williams,F,118:56:16
132,Courtney Boyle,F,118:56:17
133,Patrick Grengs,M,119:09:09
134,Helgi Olafson,M,119:25:04
135,Brendan Wiley,M,119:31:58
136,Danelle Soto,F,119:32:21
137,Nathaniel Lee,M,119:41:23
138,Jason Baum,M,119:51:19
139,Nicholas Norwood,M,120:02:15
140,David Doran,M,120:05:24
141,Danny Westergaard,M,120:11:48
142,Eduardo Sanchez,M,120:16:14
143,David Adams,M,120:28:23
144,Ramil Balagat,M,120:41:08
145,Koren Brown,F,120:44:30
146,Joshua Garza,M,120:52:59
147,Karel Baloun,M,120:56:31
148,Tom Attard,M,120:58:36
149,Saul Vidrio,M,121:37:09
150,Colleen Vidrio,F,121:37:11
151,Stephen Park,M,121:56:30
